epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.028,1.80318,4.1559,1.64622,0.40923,0.0901,0.05822,0.0404,1.5215,3.47907,1.41438,0.000114605,0.000114605,0.000114605
2,223.877,1.33308,3.04524,1.32045,0.48059,0.16088,0.12052,0.08883,1.19933,2.70278,1.1923,0.000218239,0.000218239,0.000218239
3,330.604,1.13204,2.49486,1.19903,0.44807,0.2033,0.18092,0.13623,1.08587,2.39151,1.11648,0.000310489,0.000310489,0.000310489
4,439.956,1.01965,2.19722,1.12709,0.45151,0.26364,0.24971,0.1899,0.95995,2.03371,1.05146,0.000293768,0.000293768,0.000293768
5,549.352,0.95855,2.01342,1.08919,0.45516,0.30018,0.29603,0.23447,0.84887,1.82592,0.9988,0.00027669,0.00027669,0.00027669
6,656.787,0.89639,1.8659,1.05903,0.45464,0.35077,0.3301,0.25895,0.80667,1.70282,0.97848,0.000259612,0.000259612,0.000259612
7,766.246,0.86359,1.76666,1.04232,0.48923,0.37143,0.36775,0.29552,0.76852,1.58142,0.95664,0.000242535,0.000242535,0.000242535
8,873.812,0.83682,1.67973,1.02599,0.58532,0.37713,0.40809,0.32764,0.74088,1.46747,0.93828,0.000225457,0.000225457,0.000225457
9,981.23,0.80934,1.60929,1.0154,0.51229,0.42079,0.42471,0.3439,0.71115,1.39259,0.92762,0.00020838,0.00020838,0.00020838
10,1091.22,0.79656,1.56301,1.00725,0.54679,0.4181,0.43326,0.35376,0.68959,1.36109,0.91957,0.000191303,0.000191303,0.000191303
11,1197.31,0.7294,1.36382,0.98833,0.55812,0.44192,0.46665,0.37987,0.66836,1.29264,0.8999,0.000174225,0.000174225,0.000174225
12,1300.84,0.69342,1.2641,0.96922,0.57424,0.44581,0.4935,0.4053,0.66131,1.21299,0.88514,0.000157147,0.000157147,0.000157147
13,1404.39,0.66945,1.19782,0.95412,0.58876,0.465,0.50884,0.42247,0.63539,1.15728,0.87818,0.00014007,0.00014007,0.00014007
14,1506.48,0.65039,1.14635,0.94812,0.57127,0.49969,0.52162,0.43371,0.62124,1.11197,0.87142,0.000122992,0.000122992,0.000122992
15,1610.13,0.6419,1.11697,0.94182,0.56855,0.51464,0.53743,0.44889,0.59423,1.06906,0.85957,0.000105915,0.000105915,0.000105915
16,1714.4,0.62202,1.07428,0.93672,0.61971,0.50803,0.55504,0.46756,0.57226,1.03147,0.85407,8.88375e-05,8.88375e-05,8.88375e-05
17,1819.57,0.60675,1.04243,0.93078,0.64411,0.5124,0.56632,0.47729,0.56259,1.00837,0.85016,7.176e-05,7.176e-05,7.176e-05
18,1925.58,0.59807,1.02089,0.92525,0.60812,0.53857,0.57332,0.48536,0.55163,0.98222,0.84762,5.46825e-05,5.46825e-05,5.46825e-05
19,2029.11,0.5823,0.99584,0.92211,0.63111,0.53921,0.58255,0.49338,0.54563,0.96626,0.84389,3.7605e-05,3.7605e-05,3.7605e-05
20,2134.04,0.5754,0.97786,0.91993,0.65694,0.53054,0.58798,0.4983,0.5389,0.94791,0.84208,2.05275e-05,2.05275e-05,2.05275e-05
