epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.479,1.73228,4.06401,1.64964,0.36126,0.10932,0.05901,0.04106,1.47438,3.40676,1.44312,0.000114605,0.000114605,0.000114605
2,281.055,1.24628,2.98513,1.3181,0.56613,0.16314,0.13262,0.10052,1.1547,2.70746,1.20492,0.000227332,0.000227332,0.000227332
3,417.08,1.05987,2.46243,1.18986,0.47846,0.20997,0.19353,0.14504,1.00588,2.32534,1.10789,0.000337782,0.000337782,0.000337782
4,551.033,0.95823,2.16322,1.12044,0.3531,0.30093,0.27085,0.20686,0.88998,1.98521,1.03608,0.000334753,0.000334753,0.000334753
5,687.924,0.90614,1.97467,1.0877,0.49526,0.32872,0.32031,0.25541,0.82204,1.78542,0.9991,0.000331338,0.000331338,0.000331338
6,822.392,0.85331,1.82679,1.05659,0.50169,0.35702,0.35725,0.2796,0.80036,1.67688,0.98077,0.000327922,0.000327922,0.000327922
7,957.642,0.81686,1.72286,1.03853,0.50721,0.40047,0.39323,0.31605,0.73559,1.57945,0.95167,0.000324507,0.000324507,0.000324507
8,1094.16,0.79486,1.6432,1.02381,0.59442,0.39419,0.43038,0.34602,0.71136,1.43424,0.93002,0.000321091,0.000321091,0.000321091
9,1228.69,0.76851,1.57021,1.01241,0.53628,0.40911,0.43133,0.34823,0.70677,1.45547,0.92885,0.000317676,0.000317676,0.000317676
10,1362.32,0.76051,1.52173,1.0078,0.56768,0.43086,0.46473,0.38201,0.67613,1.33006,0.91649,0.000314261,0.000314261,0.000314261
11,1497.57,0.74053,1.45703,0.99631,0.53339,0.45702,0.48151,0.39333,0.6589,1.2944,0.90556,0.000310845,0.000310845,0.000310845
12,1633.32,0.72476,1.41965,0.98881,0.53332,0.45442,0.48388,0.40069,0.64069,1.25794,0.89655,0.000307429,0.000307429,0.000307429
13,1767.88,0.71058,1.37263,0.98077,0.53206,0.47996,0.50261,0.41031,0.64969,1.24016,0.89496,0.000304014,0.000304014,0.000304014
14,1903.71,0.70046,1.3449,0.97893,0.58384,0.47904,0.51972,0.43202,0.62496,1.16182,0.89291,0.000300598,0.000300598,0.000300598
15,2039.19,0.69253,1.31217,0.975,0.5635,0.48324,0.51979,0.432,0.62214,1.16463,0.88095,0.000297183,0.000297183,0.000297183
16,2173.3,0.68195,1.27605,0.96918,0.57959,0.49587,0.53001,0.44531,0.59178,1.10716,0.87247,0.000293768,0.000293768,0.000293768
17,2308.41,0.67155,1.24114,0.96394,0.57644,0.51252,0.53768,0.45032,0.58772,1.06451,0.86765,0.000290352,0.000290352,0.000290352
18,2444.64,0.66299,1.2221,0.95932,0.57441,0.52125,0.56044,0.46976,0.58423,1.04249,0.86626,0.000286936,0.000286936,0.000286936
