epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.711,1.73228,4.06401,1.64964,0.36126,0.10932,0.05901,0.04106,1.47438,3.40676,1.44312,0.000114605,0.000114605,0.000114605
2,286.141,1.24858,2.99031,1.31987,0.45564,0.16153,0.12838,0.09416,1.14258,2.75504,1.20643,0.000218239,0.000218239,0.000218239
3,424.981,1.06059,2.47442,1.19181,0.47298,0.24057,0.19986,0.15052,1.00104,2.30634,1.10802,0.000310489,0.000310489,0.000310489
4,566.114,0.95828,2.17464,1.12244,0.40509,0.28395,0.26863,0.20662,0.87444,2.00832,1.03386,0.000293768,0.000293768,0.000293768
5,705.667,0.90584,1.98777,1.08878,0.50494,0.34096,0.32692,0.25958,0.80306,1.78985,0.98833,0.00027669,0.00027669,0.00027669
6,847.319,0.84912,1.83465,1.05828,0.539,0.35427,0.36262,0.2919,0.7503,1.67058,0.96304,0.000259612,0.000259612,0.000259612
7,998.238,0.80964,1.73277,1.03741,0.53687,0.38823,0.40315,0.32753,0.72792,1.56034,0.94772,0.000242535,0.000242535,0.000242535
8,1143.04,0.78952,1.65006,1.02376,0.60208,0.40086,0.43341,0.35214,0.70553,1.4357,0.93016,0.000225457,0.000225457,0.000225457
9,1289.16,0.75943,1.57754,1.01189,0.58009,0.41606,0.446,0.36334,0.67909,1.41002,0.9249,0.00020838,0.00020838,0.00020838
10,1436.96,0.74839,1.52737,1.00549,0.61336,0.43474,0.47371,0.39664,0.6456,1.29227,0.90319,0.000191303,0.000191303,0.000191303
11,1578.36,0.68868,1.34195,0.98806,0.51075,0.49083,0.49286,0.41305,0.6303,1.25301,0.88599,0.000174225,0.000174225,0.000174225
12,1717.61,0.65406,1.24155,0.9664,0.60227,0.49559,0.52382,0.43674,0.61645,1.18788,0.87348,0.000157147,0.000157147,0.000157147
13,1855.87,0.63169,1.17591,0.95355,0.63206,0.49317,0.53684,0.45341,0.59958,1.12195,0.8658,0.00014007,0.00014007,0.00014007
14,1993.07,0.61342,1.12707,0.94801,0.63349,0.50369,0.55443,0.46686,0.58135,1.08614,0.85726,0.000122992,0.000122992,0.000122992
15,2131.54,0.60048,1.09219,0.94004,0.61722,0.53469,0.57379,0.48774,0.5584,1.03379,0.84786,0.000105915,0.000105915,0.000105915
16,2274.43,0.58355,1.04862,0.93515,0.63452,0.53353,0.581,0.49614,0.54189,1.00211,0.8404,8.88375e-05,8.88375e-05,8.88375e-05
17,2416.73,0.56794,1.01636,0.92855,0.64056,0.53695,0.59284,0.50803,0.52839,0.97209,0.83621,7.176e-05,7.176e-05,7.176e-05
18,2558.2,0.56024,0.99234,0.92497,0.62739,0.56697,0.60606,0.52175,0.519,0.94499,0.83185,5.46825e-05,5.46825e-05,5.46825e-05
19,2695.75,0.54596,0.96769,0.91673,0.64838,0.55064,0.61104,0.52913,0.50944,0.92395,0.82778,3.7605e-05,3.7605e-05,3.7605e-05
20,2833.63,0.53671,0.94739,0.91572,0.69604,0.53854,0.61475,0.5335,0.50088,0.90877,0.8262,2.05275e-05,2.05275e-05,2.05275e-05
